,Date,Company,Price,Revenue,Free cash flow,Total Debt,ROE,EPS,PE ratio
65,2016-06-30,Company_001,250.7304,439.2805,102.5543,201.3672,12.1139,3.0083,87.8297
66,2016-09-30,Company_001,264.2196,207.1401,108.6991,372.4781,9.4829,,37.4154
67,2016-12-31,Company_001,267.9012,461.2056,105.8822,83.8458,,6.2032,
68,2017-03-31,Company_001,269.4957,256.8401,103.3868,124.5787,-3.882,8.1337,
69,2017-06-30,Company_001,269.7392,220.3133,,175.5063,7.9487,,43.1432
70,2017-09-30,Company_001,275.4142,308.4366,107.1652,173.8548,-1.2359,8.9397,31.2745
71,2017-12-31,Company_001,279.5841,480.6784,102.7009,266.2436,-6.6702,5.9058,47.9527
72,2018-03-31,Company_001,283.1983,330.4022,116.5773,272.2245,24.0959,3.4522,82.0556
73,2018-06-30,Company_001,283.2743,255.1191,112.2294,236.8375,,8.5845,32.7492
74,2018-09-30,Company_001,281.1366,233.8288,116.9559,235.4899,-1.1235,5.7402,50.0186
75,2018-12-31,Company_001,287.1168,332.3891,105.8285,278.7872,-14.161,4.6554,62.3516
76,2019-03-31,Company_001,290.2739,185.8843,112.9038,296.0285,12.1384,7.2527,40.4332
77,2019-06-30,Company_001,293.2487,242.1857,,142.0327,-3.4783,,
78,2019-09-30,Company_001,294.0974,470.3736,112.1689,207.7544,5.3807,8.5922,34.427
79,2019-12-31,Company_001,295.8048,455.4202,106.8086,225.4863,,,34.0271
80,2020-03-31,Company_001,297.8106,,100.3424,257.9388,-2.4703,7.6096,39.7452
81,2020-06-30,Company_001,302.4434,320.3149,114.9576,167.4585,6.6181,,49.8628
82,2020-09-30,Company_001,303.4718,363.5685,97.9729,213.951,19.0824,7.9694,38.2377
83,2020-12-31,Company_001,304.7299,552.4823,98.2721,214.3347,-14.3315,7.9149,39.194
84,2021-03-31,Company_001,310.2173,398.8931,112.1523,161.36,-0.2012,8.5706,
85,2021-06-30,Company_001,310.9195,437.4671,113.2084,161.4878,-1.1337,6.2581,49.4852
86,2021-09-30,Company_001,309.6824,352.431,116.0742,216.034,5.276,,44.149
87,2021-12-31,Company_001,312.3749,374.6581,114.8637,198.3259,6.5714,8.5388,36.703
88,2022-03-31,Company_001,313.4014,419.4174,119.0613,245.0991,-2.2364,9.668,32.2643
89,2022-06-30,Company_001,311.9301,384.3963,115.2187,127.7381,,9.3514,33.9015
90,2022-09-30,Company_001,317.025,,109.9869,179.1411,0.6344,7.9253,39.8541
91,2022-12-31,Company_001,315.8572,488.0577,112.1219,172.1569,5.3539,7.2925,44.769
92,2023-03-31,Company_001,326.4779,339.0872,111.0917,,10.3573,8.7355,37.5318
93,2023-06-30,Company_001,327.86,557.831,114.8513,117.51,16.4348,,51.3743
94,2023-09-30,Company_001,329.4421,446.0383,106.62,198.9216,17.792,,48.0853
95,2023-12-31,Company_001,330.5986,394.7983,115.0164,202.8589,14.1723,10.5064,31.2939
96,2024-03-31,Company_001,328.7869,424.9177,,300.4514,1.198,8.7727,
97,2024-06-30,Company_001,329.4511,,114.8769,111.5202,8.7226,7.6099,43.4056
98,2024-09-30,Company_001,330.3109,362.5677,116.2513,,29.8718,9.6726,34.9855
99,2024-12-31,Company_001,338.4001,422.4853,100.3639,99.0577,18.656,,32.6162
100,2000-03-31,Company_002,457.2298,274.4306,102.8414,368.5034,,8.0715,56.0277
101,2000-06-30,Company_002,452.2253,369.0903,102.286,393.02,,7.1807,62.4635
102,2000-09-30,Company_002,448.5292,,99.9401,265.9922,-5.1469,3.039,147.3466
103,2000-12-31,Company_002,447.7896,222.3235,91.0229,229.3771,13.9297,,113.111
104,2001-03-31,Company_002,445.6987,219.7105,95.8376,,,7.0152,62.9354
105,2001-06-30,Company_002,441.5027,,95.5656,376.5547,,3.7499,116.9858
106,2001-09-30,Company_002,-438.6853,304.7336,87.4206,267.4284,3.9766,4.8421,89.4355
107,2001-12-31,Company_002,433.0515,392.4244,102.5009,200.6535,-3.1501,5.945,
108,2002-03-31,Company_002,426.825,291.1198,99.1386,383.6418,-6.8707,3.5011,
109,2002-06-30,Company_002,429.249,,91.4371,547.1566,-6.981,5.131,82.6599
110,2002-09-30,Company_002,424.1273,274.1691,91.6031,375.0204,-6.8193,2.5456,163.8564
111,2002-12-31,Company_002,417.1081,305.1532,91.1117,451.1964,-7.543,,
112,2003-03-31,Company_002,408.7804,291.0193,78.6563,384.0846,-0.5638,5.239,79.3213
113,2003-06-30,Company_002,415.5662,263.8083,,372.2028,-6.1104,2.048,202.4986
114,2003-09-30,Company_002,414.7221,310.7919,86.8837,446.4801,,5.4256,76.5087
115,2003-12-31,Company_002,415.109,316.1652,84.5099,361.1322,-7.3949,4.601,89.7468
116,2004-03-31,Company_002,412.9293,336.1336,89.2231,399.4935,-5.9189,,74.0983
117,2004-06-30,Company_002,414.5259,,101.9067,403.744,-22.6736,,82.1202
118,2004-09-30,Company_002,414.3753,213.7035,95.6808,323.4646,1.3442,7.0609,59.3107
119,2004-12-31,Company_002,418.7885,239.0901,88.181,446.4287,-3.3029,4.9967,83.7218
120,2005-03-31,Company_002,418.3316,326.1775,95.0599,361.5422,,4.0611,102.8603
121,2005-06-30,Company_002,417.7304,156.1504,99.8362,321.2401,,4.9326,84.3936
122,2005-09-30,Company_002,416.276,254.2179,,416.7408,10.46,5.623,73.991
123,2005-12-31,Company_002,416.0482,192.7526,91.8363,309.0466,-7.3466,4.8399,86.2162
124,2006-03-31,Company_002,417.2794,237.6474,88.8307,365.7439,3.531,5.0235,84.4267
125,2006-06-30,Company_002,424.1201,349.1401,98.0938,353.9251,,3.9497,108.7455
126,2006-09-30,Company_002,429.5128,263.1861,96.8019,429.5223,0.544,4.1002,
127,2006-12-31,Company_002,432.4859,252.166,,383.3848,-12.8012,2.8953,149.6119
128,2007-03-31,Company_002,433.1693,136.5164,98.5528,345.3639,-9.2504,8.135,53.3378
129,2007-06-30,Company_002,-433.9053,311.4128,101.1011,407.2743,11.21,3.1814,136.4095
130,2007-09-30,Company_002,433.979,305.0548,91.6769,447.07,,4.1337,105.3227
131,2007-12-31,Company_002,435.3693,427.9038,102.5912,389.4334,-2.5549,,107.5183
132,2008-03-31,Company_002,433.2103,227.3178,96.3419,343.8994,,,
133,2008-06-30,Company_002,436.3235,272.1783,107.9751,245.2606,,,
134,2008-09-30,Company_002,437.1069,280.3313,91.822,256.8364,-2.1563,7.5095,58.7287
135,2008-12-31,Company_002,441.0204,,106.3387,315.5161,-0.6236,4.2817,102.6198
136,2009-03-31,Company_002,439.3874,239.5492,95.6234,,14.9853,5.6621,
137,2009-06-30,Company_002,432.577,264.6777,89.6379,,-5.3423,3.6986,115.8446
138,2009-09-30,Company_002,428.4604,294.6979,91.0259,357.3562,-3.0301,8.6874,49.5374
139,2009-12-31,Company_002,430.3508,258.2575,91.8291,393.8979,3.6931,3.1404,136.7107
140,2010-03-31,Company_002,-429.3267,200.0514,95.6262,356.3339,3.6629,5.506,77.2598
141,2010-06-30,Company_002,425.3959,243.6022,94.9486,408.541,3.5191,5.8502,71.5758
142,2010-09-30,Company_002,418.734,310.7456,87.4627,384.3041,-1.3871,5.369,77.2352
143,2010-12-31,Company_002,414.6765,147.0696,92.2381,221.7636,-14.8607,4.5896,91.956
144,2011-03-31,Company_002,422.04,,104.5036,306.6403,,4.5338,91.9588
145,2011-06-30,Company_002,416.9217,163.1721,101.4868,369.3802,-15.8031,4.7492,87.2623
146,2011-09-30,Company_002,414.4224,320.3051,93.5705,291.121,-4.1387,4.4302,
147,2011-12-31,Company_002,414.3181,97.6999,91.5328,420.8358,-12.4072,6.3291,65.7899
148,2012-03-31,Company_002,416.3887,,92.5926,484.4654,-6.4967,8.4766,49.4643
149,2012-06-30,Company_002,419.2917,260.6815,95.7541,460.2443,-3.2406,3.9157,107.2712
150,2012-09-30,Company_002,420.0388,363.6593,86.3285,349.7421,,2.658,159.1638
151,2012-12-31,Company_002,423.0603,224.7491,90.5389,479.2942,,4.7091,89.3202
152,2013-03-31,Company_002,420.6142,192.2432,82.9908,371.0442,7.8598,,45.8902
153,2013-06-30,Company_002,426.2409,399.7669,96.3463,329.0765,-1.0459,,113.334
154,2013-09-30,Company_002,429.9338,,98.9023,299.6412,-6.0187,7.9936,54.4614
155,2013-12-31,Company_002,435.3405,,92.7402,315.96,4.1874,8.17,53.7629
156,2014-03-31,Company_002,439.244,299.6684,106.131,302.5605,6.5102,4.5976,96.4537
157,2014-06-30,Company_002,443.4586,226.9609,89.7397,337.2867,-12.5121,6.5656,68.121
158,2014-09-30,Company_002,447.2562,199.0584,90.3052,318.8463,3.4606,8.6232,53.0877
159,2014-12-31,Company_002,457.7857,339.7546,100.2536,310.5714,4.0598,5.2428,86.9411
160,2015-03-31,Company_002,455.8125,302.2665,105.4265,341.2644,-3.8999,5.5547,82.1917
161,2015-06-30,Company_002,456.5518,230.2675,108.6607,402.5184,9.1719,4.8297,
162,2015-09-30,Company_002,453.1184,,96.0953,380.0596,-2.7872,4.1936,108.7189
163,2015-12-31,Company_002,455.9196,356.8488,105.9408,196.9958,-0.2892,4.865,
164,2016-03-31,Company_002,458.2222,337.6995,99.015,119.1307,-2.7546,3.8996,117.38
165,2016-06-30,Company_002,457.7341,290.2753,100.1639,358.6559,,,
166,2016-09-30,Company_002,-467.9745,452.3162,106.6973,188.628,-8.9176,4.9576,
167,2016-12-31,Company_002,468.3587,216.8815,106.1666,,-11.1355,6.7519,70.0475
168,2017-03-31,Company_002,472.9558,,93.078,190.6441,13.6572,3.8702,122.9315
169,2017-06-30,Company_002,475.7685,252.1216,111.7209,144.3705,-6.0348,6.9898,68.0464
170,2017-09-30,Company_002,-475.6285,315.9761,,304.9439,-6.3475,8.0262,60.1419
171,2017-12-31,Company_002,482.7117,343.5713,100.71,316.7478,-15.4103,3.4179,141.9628
172,2018-03-31,Company_002,485.2196,313.8106,108.3501,206.2374,,7.547,65.2538
173,2018-06-30,Company_002,492.4694,358.9663,108.4064,62.7194,-8.1881,8.8785,55.1487
174,2018-09-30,Company_002,-489.6384,229.1255,107.4119,209.4429,15.9773,,
175,2018-12-31,Company_002,491.8883,456.4621,102.9389,274.2326,11.1866,9.7529,50.6944
176,2019-03-31,Company_002,494.4179,335.4337,102.9451,129.9918,-2.0294,7.7898,63.9691
177,2019-06-30,Company_002,498.3081,438.565,107.3743,248.1598,21.967,6.0007,83.4562
178,2019-09-30,Company_002,500.7954,383.3399,115.9099,222.969,12.4818,,69.877
179,2019-12-31,Company_002,507.0762,396.9978,112.6218,261.8414,2.3018,8.3572,61.0231
180,2020-03-31,Company_002,509.9848,,106.8407,229.6698,-15.3415,,67.5939
181,2020-06-30,Company_002,508.9947,395.2487,113.8836,148.7436,23.2985,8.3049,61.3245
182,2020-09-30,Company_002,509.2925,415.0137,92.222,304.2645,,5.9604,85.8632
183,2020-12-31,Company_002,511.7751,470.9568,116.5302,205.7172,-8.2105,7.7444,65.9912
184,2021-03-31,Company_002,511.0643,384.6605,99.8932,206.3893,13.9318,5.2777,97.8473
185,2021-06-30,Company_002,516.4057,429.3857,108.6082,137.1464,,7.4778,69.2615
186,2021-09-30,Company_002,517.9265,366.6189,104.4471,169.1029,17.323,6.236,83.4462
187,2021-12-31,Company_002,520.3689,496.8136,103.8074,,10.981,6.5793,79.432
188,2022-03-31,Company_002,522.608,327.3949,,,11.7491,9.9681,52.8618
189,2022-06-30,Company_002,526.9311,537.8041,110.3373,311.0693,,9.8246,53.9734
190,2022-09-30,Company_002,530.2668,382.359,114.9633,,,8.9734,
191,2022-12-31,Company_002,528.4301,,112.6113,68.9284,9.4361,6.1647,85.7646
192,2023-03-31,Company_002,528.7108,406.3095,117.0931,284.8041,8.8082,,70.065
193,2023-06-30,Company_002,535.3546,341.6344,114.976,,,10.2225,52.5382
194,2023-09-30,Company_002,537.0731,469.1208,106.82,122.9808,2.1988,8.4728,
195,2023-12-31,Company_002,537.9038,346.7583,120.9674,246.9437,6.1435,12.1092,
196,2024-03-31,Company_002,538.9902,356.5262,110.8734,134.4164,-5.8515,8.7734,
197,2024-06-30,Company_002,533.8832,242.9754,105.2053,306.1225,7.5188,8.5649,62.8389
198,2024-09-30,Company_002,538.2074,368.3294,112.9163,214.5293,0.8508,,
199,2024-12-31,Company_002,-542.42,204.4766,124.6816,128.9831,-0.095,8.585,63.1642
200,2000-03-31,Company_003,115.7239,312.6263,,213.729,7.6247,8.4387,
201,2000-06-30,Company_003,119.4093,219.5555,114.7896,209.7743,4.1193,6.1926,20.1938
202,2000-09-30,Company_003,125.0516,178.4926,107.2407,203.5197,,5.0655,25.6462
203,2000-12-31,Company_003,129.9095,249.1962,101.351,320.1252,-4.6335,5.5188,23.74
204,2001-03-31,Company_003,131.0157,375.861,111.4907,277.8449,14.4015,6.5437,20.5104
205,2001-06-30,Company_003,134.2137,369.9836,110.6247,285.1795,19.2219,7.4431,18.3761
206,2001-09-30,Company_003,136.7756,428.2087,111.1342,,-2.0564,7.1693,19.172
207,2001-12-31,Company_003,137.4492,389.2111,122.6119,,13.2444,5.5966,25.4108
208,2002-03-31,Company_003,142.2144,371.2922,113.6824,261.1466,-0.2646,9.5894,14.8565
209,2002-06-30,Company_003,142.4651,327.5115,109.7807,301.9192,,7.5483,18.9207
210,2002-09-30,Company_003,142.8197,439.6548,96.4287,277.1117,,6.2303,21.8176
211,2002-12-31,Company_003,135.9312,272.4809,107.1239,269.0049,-13.5248,8.9302,15.119
212,2003-03-31,Company_003,135.0153,,116.0927,164.7098,,5.4331,24.7844
213,2003-06-30,Company_003,134.6551,403.2571,106.9954,253.4947,5.8826,4.6945,
214,2003-09-30,Company_003,133.7072,,92.8405,170.9931,15.7452,8.9645,
215,2003-12-31,Company_003,131.888,554.3473,102.2034,252.8221,,,13.2868
216,2004-03-31,Company_003,128.678,,109.1169,,19.6846,,21.3993
217,2004-06-30,Company_003,123.4828,335.5332,104.5766,148.9992,1.6182,,19.4868
218,2004-09-30,Company_003,119.5591,212.4073,93.585,295.1773,-1.528,4.11,27.7971
219,2004-12-31,Company_003,114.2474,248.0757,94.0636,274.8481,,5.6706,19.6673
220,2005-03-31,Company_003,111.5263,222.2906,92.9371,350.0283,-6.1921,4.6292,23.0914
221,2005-06-30,Company_003,106.8951,205.7236,90.56,,-20.4337,5.0729,20.716
222,2005-09-30,Company_003,105.0895,306.6966,81.2913,357.3622,-5.4873,5.7293,18.0381
223,2005-12-31,Company_003,103.3452,212.0418,99.1348,403.1645,-19.5199,,
224,2006-03-31,Company_003,104.4754,,103.4724,298.8762,0.849,4.8295,22.2191
225,2006-06-30,Company_003,-107.3068,515.3171,87.6563,307.739,-11.4133,,38.6469
226,2006-09-30,Company_003,110.4337,258.0633,106.3832,439.3608,-7.7377,5.2887,21.5462
227,2006-12-31,Company_003,113.952,307.0052,99.1185,303.6384,,5.8488,
228,2007-03-31,Company_003,116.3806,309.9541,104.9988,308.4673,-3.1758,5.9826,18.5764
229,2007-06-30,Company_003,111.1359,423.2932,95.3748,,-2.9411,5.6602,18.7494
230,2007-09-30,Company_003,106.1256,257.7818,96.8856,,5.9944,6.8018,15.898
231,2007-12-31,Company_003,108.1354,193.6879,,269.7785,-6.5978,3.1781,34.379
232,2008-03-31,Company_003,109.2601,166.4132,93.3155,230.1253,2.6594,3.5091,32.1917
233,2008-06-30,Company_003,112.9626,,106.7884,,20.8632,6.7336,17.1571
234,2008-09-30,Company_003,115.5294,266.0342,94.6215,,3.9623,3.1766,37.9111
235,2008-12-31,Company_003,120.4279,,98.0345,,,6.3836,18.4998
236,2009-03-31,Company_003,118.0945,459.4118,103.7137,,-5.7206,,27.3732
237,2009-06-30,Company_003,117.9401,184.6597,94.6779,381.0534,-2.8172,8.0836,13.8698
238,2009-09-30,Company_003,112.1176,189.7869,99.4218,324.3431,-10.2169,5.5953,18.7517
239,2009-12-31,Company_003,104.9205,251.0745,101.7915,415.3171,-2.0867,4.6827,21.7688
240,2010-03-31,Company_003,101.9373,,98.4677,235.7689,-4.0373,6.713,14.8314
241,2010-06-30,Company_003,99.5636,229.9975,78.6308,,-22.5967,3.0134,31.9066
242,2010-09-30,Company_003,96.1487,161.0823,,395.6158,-6.3513,3.204,29.5602
243,2010-12-31,Company_003,94.7118,222.1252,97.3859,381.9942,2.7782,2.767,35.0342
244,2011-03-31,Company_003,96.9391,173.154,83.2095,233.0532,-8.4433,3.424,28.5572
245,2011-06-30,Company_003,97.7806,277.0915,94.8001,490.5761,,4.6655,20.4481
246,2011-09-30,Company_003,95.4015,140.4792,92.1434,331.9814,-18.1563,4.9746,18.1473
247,2011-12-31,Company_003,90.2763,182.023,83.6097,407.9583,-19.9302,6.152,15.8042
248,2012-03-31,Company_003,97.2272,360.4668,99.8179,348.8362,3.1511,2.46,42.6908
249,2012-06-30,Company_003,105.0187,177.0498,,,-5.3679,4.8059,21.3697
250,2012-09-30,Company_003,102.701,117.3931,97.8992,545.0107,2.2042,,30.1298
251,2012-12-31,Company_003,103.2918,264.1169,,235.2096,8.6464,4.926,21.3617
252,2013-03-31,Company_003,105.227,227.164,96.2635,,4.2812,8.8604,12.0258
253,2013-06-30,Company_003,106.5528,309.3184,85.1307,355.2105,-6.8498,5.8251,18.4365
254,2013-09-30,Company_003,107.3947,293.8999,81.8767,240.148,-1.3267,6.7895,15.9147
255,2013-12-31,Company_003,108.053,,94.4663,,-8.7362,8.034,12.782
256,2014-03-31,Company_003,102.6908,253.6918,102.0673,416.2034,,7.019,15.1506
257,2014-06-30,Company_003,106.3428,,97.3547,386.7407,0.0718,,22.8065
258,2014-09-30,Company_003,107.5593,267.3427,,362.8796,-9.3547,3.3908,
259,2014-12-31,Company_003,106.4957,328.6102,92.6333,474.5342,-20.9918,,
260,2015-03-31,Company_003,103.1454,170.8891,89.4135,242.294,-9.8154,4.4565,23.8753
261,2015-06-30,Company_003,106.4,242.5482,91.6996,367.5038,-6.6673,2.6798,37.8922
262,2015-09-30,Company_003,101.5451,,,299.8492,7.3753,5.315,19.0001
263,2015-12-31,Company_003,100.9849,,88.5224,455.3681,-9.255,5.1126,19.0568
264,2016-03-31,Company_003,97.4305,358.1796,97.2044,207.1796,-0.6389,7.5871,13.2289
265,2016-06-30,Company_003,100.3683,173.3484,91.8912,380.4047,,,23.581
266,2016-09-30,Company_003,96.2131,51.6999,91.7362,419.8993,3.1747,,19.162
267,2016-12-31,Company_003,94.2015,240.8948,95.8718,303.3056,3.0037,3.5725,26.7336
268,2017-03-31,Company_003,95.5066,256.0332,87.1425,330.7443,3.186,5.9103,16.1798
269,2017-06-30,Company_003,-95.6278,346.2546,,387.9749,-19.5234,4.3741,21.7759
270,2017-09-30,Company_003,95.2504,331.0164,,468.2687,-4.3533,2.8107,34.0113
271,2017-12-31,Company_003,95.5939,282.7424,93.9672,282.7331,0.8508,4.7852,
272,2018-03-31,Company_003,98.8447,311.3492,88.8938,288.7781,-1.4298,5.553,18.2164
273,2018-06-30,Company_003,101.1563,223.8654,,461.6425,0.5169,,
274,2018-09-30,Company_003,-101.0344,110.2608,90.7288,363.6449,-5.6541,6.1339,15.4985
275,2018-12-31,Company_003,95.0667,238.5456,79.3502,312.0119,-11.3353,2.4916,38.949
276,2019-03-31,Company_003,97.0444,326.993,90.5144,431.4746,-17.9172,3.6036,27.7332
277,2019-06-30,Company_003,99.9389,328.4002,86.5282,289.4842,-7.1599,,16.8692
278,2019-09-30,Company_003,109.1405,359.0717,103.2703,,19.8659,4.6937,
279,2019-12-31,Company_003,113.4423,269.9744,108.3726,227.3453,-2.5687,6.669,18.1494
280,2020-03-31,Company_003,121.039,283.67,96.353,,-14.1035,2.6202,46.0757
281,2020-06-30,Company_003,120.7253,376.2732,107.6357,339.8011,8.845,10.8853,11.7563
282,2020-09-30,Company_003,-127.9708,274.1613,109.4343,247.8669,9.0968,,
283,2020-12-31,Company_003,125.4766,281.4026,110.047,328.0352,12.8212,8.5013,14.9144
284,2021-03-31,Company_003,126.7912,367.5832,107.399,242.4599,7.4942,6.4267,20.289
285,2021-06-30,Company_003,130.3921,418.1015,111.7463,410.5247,11.1046,,17.184
286,2021-09-30,Company_003,132.8816,324.2769,102.2984,382.1846,18.2915,9.2346,14.1824
287,2021-12-31,Company_003,130.9692,,106.3927,134.4364,-2.0735,,14.9849
288,2022-03-31,Company_003,129.9674,,,294.8948,-3.5922,6.6039,19.6924
289,2022-06-30,Company_003,130.0459,369.0281,102.8509,165.5269,-3.8302,6.9325,19.2369
290,2022-09-30,Company_003,133.3597,380.4437,109.2979,238.4921,3.6506,8.9071,15.3884
291,2022-12-31,Company_003,137.0665,402.3681,113.5511,,18.2984,11.2684,12.621
292,2023-03-31,Company_003,142.2185,433.556,119.3766,,,8.1411,17.6769
293,2023-06-30,Company_003,143.9097,390.1871,114.2712,282.744,11.7302,10.8835,13.3185
294,2023-09-30,Company_003,144.9524,432.6915,119.1323,186.3651,-4.6192,,18.9774
295,2023-12-31,Company_003,150.5544,414.2108,120.4996,132.6195,4.9379,9.9347,15.4442
296,2024-03-31,Company_003,153.4337,542.3441,135.7296,96.4879,-2.307,10.5515,15.0898
297,2024-06-30,Company_003,159.2198,561.189,106.8913,154.8101,20.4681,,19.3441
298,2024-09-30,Company_003,157.1612,337.7398,,160.6079,24.9368,7.9141,20.4195
299,2024-12-31,Company_003,161.6021,418.9227,128.7711,118.6884,18.363,,14.9931
300,2000-03-31,Company_004,305.9359,-43.1749,88.3912,465.1518,-9.4578,3.7912,83.1184
301,2000-06-30,Company_004,315.1206,196.3098,79.2828,347.9316,-3.9026,2.1123,150.2279
302,2000-09-30,Company_004,-317.3227,,77.9422,445.265,-5.494,4.2532,
303,2000-12-31,Company_004,322.2056,217.1037,76.4979,312.9915,-19.457,2.2327,143.401
