Unnamed: 0,Date,Company,Price,Revenue,Free cash flow,Total Debt,ROE,EPS,PE ratio,Next_Quarter_Price,Return,Target
16,2004-03-31,Company_001,193.1475,145.4245,87.9636,366.0404,-4.3856,3.9095,50.0167,195.5384,0.012378622555300938,1
17,2004-06-30,Company_001,195.5384,318.6682,86.4389,398.7186,6.807,0.5587,331.647,-185.3004,-1.9476419976843422,0
18,2004-09-30,Company_001,-185.3004,278.7734,90.2247,523.7582,-5.1526,5.5558,33.0689,183.7235,-1.9914900345600983,0
19,2004-12-31,Company_001,183.7235,253.2934,88.6337,440.1776,-5.4285,5.0783,36.0819,183.2346,-0.002661064044610521,0
20,2005-03-31,Company_001,183.2346,227.8134,93.8458,438.21055,-5.4285,4.2756,42.3735,181.1729,-0.011251695913326424,0
21,2005-06-30,Company_001,181.1729,221.0396,84.6475,436.2435,-5.7044,4.7244,37.8398,178.7719,-0.01325253390545722,0
22,2005-09-30,Company_001,178.7719,197.7304,85.2863,428.2307,-16.2324,4.6865,37.3378,174.9821,-0.02119908106363464,0
23,2005-12-31,Company_001,174.9821,266.609,85.9251,328.2146,-9.6954,4.09615,44.1539,176.1462,0.006652680474174162,1
24,2006-03-31,Company_001,176.1462,314.7576,92.9639,310.2217,5.5832,3.5058,50.97,178.6885,0.014432897218333473,1
25,2006-06-30,Company_001,178.6885,206.2037,86.8436,532.5521,0.7922,5.2849,34.5844,182.7747,0.022867727917577185,1
26,2006-09-30,Company_001,182.7747,310.6158,84.6661,413.0585,-10.4739,4.7617,38.2486,182.1277,-0.0035398772368385304,0
27,2006-12-31,Company_001,182.1277,286.0556,100.2999,404.0023,-9.4704,7.7163,23.8797,184.2623,0.01172034786581067,1
28,2007-03-31,Company_001,184.2623,225.9882,89.1749,390.509,-21.3246,7.0473,26.1496,184.2844,0.00011993771921871526,1
29,2007-06-30,Company_001,184.2844,222.6806,78.0499,450.7867,5.8837,5.955762680093852,30.9422,185.2022,0.004980345596263165,1
30,2007-09-30,Company_001,185.2022,115.0866,85.9264,577.3798,0.9537,3.2682,56.1906,183.6448,-0.008409187363865015,0
31,2007-12-31,Company_001,183.6448,93.765,83.7164,427.4645,-7.2526,3.707,50.9045,188.7052,0.02755536775340215,1
32,2008-03-31,Company_001,188.7052,220.7064,81.5064,355.2199,-4.8308,2.9059,63.4351,184.3373,-0.02314668594188179,0
33,2008-06-30,Company_001,184.3373,153.5089,95.2693,371.0808,-6.9311,5.2108,37.5088,195.4505,0.060287310273070105,1
34,2008-09-30,Company_001,195.4505,224.4064,95.4427,449.2612,-9.0314,0.5575,359.1273,200.2251,0.024428691663618114,1
35,2008-12-31,Company_001,200.2251,186.1506,93.76740000000001,331.0123,6.6106,4.186,48.0406,201.0996,0.004367584283888543,1
36,2009-03-31,Company_001,201.0996,90.9032,92.0921,427.3351,3.9668,4.5147,45.3242,-204.6267,-2.017539070192084,0
37,2009-06-30,Company_001,-204.6267,266.5697,80.1795,197.0036,-1.1678,5.5177,39.14785,208.663,-2.019725187377796,0
38,2009-09-30,Company_001,208.663,261.48,104.5926,294.3718,-3.4539,6.5207,32.9715,214.9962,0.03035133205216055,1
39,2009-12-31,Company_001,214.9962,256.3903,92.5323,391.74,3.7962,3.5378,61.6454,218.091,0.01439467302212793,1
40,2010-03-31,Company_001,218.091,181.7163,95.05265,342.9548,-5.1812,5.8151,37.8745,220.2436,0.009870191800670263,1
41,2010-06-30,Company_001,220.2436,219.3309,97.573,294.1696,-17.5572,9.6555,22.2523,214.8569,-0.0244579184139743,0
42,2010-09-30,Company_001,214.8569,374.4283,102.664,240.607,-3.0268,2.7994,78.008,218.3792,0.016393702040753643,1
43,2010-12-31,Company_001,218.3792,266.5283,92.5872,321.8191,0.942,5.2241,41.80226259068548,222.9014,0.020708016148058048,1
44,2011-03-31,Company_001,222.9014,266.5283,96.5312,323.6675,7.1424,4.8285,46.2753,223.4392,0.0024127259855703208,1
45,2011-06-30,Company_001,223.4392,158.6283,99.0706,325.5159,-14.5059,4.5797,48.78904731750988,225.7676,0.010420731903801965,1
46,2011-09-30,Company_001,225.7676,286.90255,101.5616,330.3787,-2.8775,6.8215,33.6171,229.3186,0.015728563354529244,1
47,2011-12-31,Company_001,229.3186,415.1768,103.8659,232.3054,-2.0963,7.4583,31.2265,232.896,0.015600130124638747,1
48,2012-03-31,Company_001,232.896,380.8142,94.5017,378.0692,-10.5402,7.0053,33.6766,235.916,0.012967161308051707,1
49,2012-06-30,Company_001,235.916,339.3491,93.5104,308.8402,-2.4737500000000003,4.6638,50.762,-236.7446,-2.0035122670781127,0
50,2012-09-30,Company_001,-236.7446,277.8001,106.1735,392.7186,5.5927,9.7155,24.6245,239.2385,-2.010534136787069,0
51,2012-12-31,Company_001,239.2385,319.3243,86.6351,176.9728,-2.6391,3.2239,76.0798,245.2711,0.02521584109581026,1
52,2013-03-31,Company_001,245.2711,361.9686,107.7171,241.9639,-3.0290999999999997,4.2789,56.2937,240.8726,-0.017933217570272178,0
53,2013-06-30,Company_001,240.8726,227.7847,96.2722,351.4903,-3.4191,6.1609,39.09698258371342,240.1616,-0.002951767864007831,0
54,2013-09-30,Company_001,240.1616,190.4193,98.3484,256.0233,-4.3344,6.0753,39.53082152321696,241.8032,0.006835397499017374,1
55,2013-12-31,Company_001,241.8032,153.0539,95.0394,283.48130000000003,-4.0876,6.8238,36.1266,246.522,0.01951504363879381,1
56,2014-03-31,Company_001,246.522,281.08344999999997,98.2732,310.9393,-7.3656,8.4592,28.7177,242.9292,-0.014573952831795875,0
57,2014-06-30,Company_001,242.9292,409.113,105.6942,326.9794,-5.5254,5.689,42.1148,239.59,-0.013745568667743544,0
58,2014-09-30,Company_001,239.59,251.9562,102.8669,328.83635000000004,-12.8731,6.057901390644754,39.55,240.7763,0.004951375266079505,1
59,2014-12-31,Company_001,240.7763,248.0419,100.43095,330.6933,-2.6981,4.8644,48.6445,236.6249,-0.017241730186899604,0
60,2015-03-31,Company_001,236.6249,298.1927,97.995,346.6273,-0.6037,6.7259,35.1362,-236.3217,-1.9987186471077218,0
61,2015-06-30,Company_001,-236.3217,149.6484,89.3652,362.5613,-20.179,5.3908,44.5601,240.2136,-2.0164686526882636,0
62,2015-09-30,Company_001,240.2136,356.9807,93.5368,302.0829,-1.2239,5.4699,44.4976,-243.396,-2.013248209093906,0
63,2015-12-31,Company_001,-243.396,390.0213,97.5695,312.3984,1.7924499999999999,6.63185,38.33405,249.3777,-2.024575999605581,0
64,2016-03-31,Company_001,249.3777,321.0366,102.6407,481.2101,4.8088,7.7938,32.1705,250.7304,0.005424302172968949,1
65,2016-06-30,Company_001,250.7304,439.2805,102.5543,201.3672,12.1139,3.0083,87.8297,264.2196,0.05379961903303313,1
66,2016-09-30,Company_001,264.2196,207.1401,108.6991,372.4781,9.4829,7.061787392357158,37.4154,267.9012,0.013933864103949907,1
67,2016-12-31,Company_001,267.9012,461.2056,105.8822,83.8458,2.8004500000000005,6.2032,43.187580603559454,269.4957,0.005951821044474538,1
68,2017-03-31,Company_001,269.4957,256.8401,103.3868,124.5787,-3.882,8.1337,33.13322350221917,269.7392,0.0009035394627817185,1
69,2017-06-30,Company_001,269.7392,220.3133,105.276,175.5063,7.9487,6.2521834263568765,43.1432,275.4142,0.021038840479989603,1
70,2017-09-30,Company_001,275.4142,308.4366,107.1652,173.8548,-1.2359,8.9397,31.2745,279.5841,0.015140468429006146,1
71,2017-12-31,Company_001,279.5841,480.6784,102.7009,266.2436,-6.6702,5.9058,47.9527,283.1983,0.012927058441449424,1
72,2018-03-31,Company_001,283.1983,330.4022,116.5773,272.2245,24.0959,3.4522,82.0556,283.2743,0.00026836319285802553,1
73,2018-06-30,Company_001,283.2743,255.1191,112.2294,236.8375,11.4862,8.5845,32.7492,281.1366,-0.007546395843180957,0
74,2018-09-30,Company_001,281.1366,233.8288,116.9559,235.4899,-1.1235,5.7402,50.0186,287.1168,0.02127151000616791,1
75,2018-12-31,Company_001,287.1168,332.3891,105.8285,278.7872,-14.161,4.6554,62.3516,290.2739,0.010995873456377384,1
76,2019-03-31,Company_001,290.2739,185.8843,112.9038,296.0285,12.1384,7.2527,40.4332,293.2487,0.010248251737410629,1
77,2019-06-30,Company_001,293.2487,242.1857,112.53635,142.0327,-3.4783,7.9224499999999995,37.430099999999996,294.0974,0.0028941304769637788,1
78,2019-09-30,Company_001,294.0974,470.3736,112.1689,207.7544,5.3807,8.5922,34.427,295.8048,0.005805559654726655,1
79,2019-12-31,Company_001,295.8048,455.4202,106.8086,225.4863,1.4552,8.69321217500169,34.0271,297.8106,0.0067808230292409795,1
80,2020-03-31,Company_001,297.8106,387.86755000000005,100.3424,257.9388,-2.4703,7.6096,39.7452,302.4434,0.015556195783494525,1
81,2020-06-30,Company_001,302.4434,320.3149,114.9576,167.4585,6.6181,6.0655117642811875,49.8628,303.4718,0.0034003056439650407,1
82,2020-09-30,Company_001,303.4718,363.5685,97.9729,213.951,19.0824,7.9694,38.2377,304.7299,0.004145689978442851,1
83,2020-12-31,Company_001,304.7299,552.4823,98.2721,214.3347,-14.3315,7.9149,39.194,310.2173,0.018007422310708718,1
84,2021-03-31,Company_001,310.2173,398.8931,112.1523,161.36,-0.2012,8.5706,36.19551723333255,310.9195,0.00226357459754825,1
85,2021-06-30,Company_001,310.9195,437.4671,113.2084,161.4878,-1.1337,6.2581,49.4852,309.6824,-0.00397884339837178,0
86,2021-09-30,Company_001,309.6824,352.431,116.0742,216.034,5.276,7.014482774241771,44.149,312.3749,0.008694391415204908,1
87,2021-12-31,Company_001,312.3749,374.6581,114.8637,198.3259,6.5714,8.5388,36.703,313.4014,0.003286115497756057,1
88,2022-03-31,Company_001,313.4014,419.4174,119.0613,245.0991,-2.2364,9.668,32.2643,311.9301,-0.004694618466924659,0
89,2022-06-30,Company_001,311.9301,384.3963,115.2187,127.7381,-0.8010000000000002,9.3514,33.9015,317.025,0.016333467017129785,1
90,2022-09-30,Company_001,317.025,436.227,109.9869,179.1411,0.6344,7.9253,39.8541,315.8572,-0.003683621165523223,0
91,2022-12-31,Company_001,315.8572,488.0577,112.1219,172.1569,5.3539,7.2925,44.769,326.4779,0.03362500522387965,1
92,2023-03-31,Company_001,326.4779,339.0872,111.0917,144.83345,10.3573,8.7355,37.5318,327.86,0.00423336464734684,1
93,2023-06-30,Company_001,327.86,557.831,114.8513,117.51,16.4348,6.3817901168483075,51.3743,329.4421,0.004825535289452719,1
94,2023-09-30,Company_001,329.4421,446.0383,106.62,198.9216,17.792,6.851201926576313,48.0853,330.5986,0.003510480293805783,1
95,2023-12-31,Company_001,330.5986,394.7983,115.0164,202.8589,14.1723,10.5064,31.2939,328.7869,-0.005480059504184148,0
96,2024-03-31,Company_001,328.7869,424.9177,114.94665,300.4514,1.198,8.7727,37.47841599507563,329.4511,0.0020201534793508925,1
97,2024-06-30,Company_001,329.4511,393.7427,114.8769,111.5202,8.7226,7.6099,43.4056,330.3109,0.0026097955053117354,1
98,2024-09-30,Company_001,330.3109,362.5677,116.2513,105.28895,29.8718,9.6726,34.9855,338.4001,0.024489655049227878,1
100,2000-03-31,Company_002,457.2298,274.4306,102.8414,368.5034,-5.1469,8.0715,56.0277,452.2253,-0.010945262097964759,0
101,2000-06-30,Company_002,452.2253,369.0903,102.286,393.02,-5.1469,7.1807,62.4635,448.5292,-0.008173138477657048,0
102,2000-09-30,Company_002,448.5292,295.7069,99.9401,265.9922,-5.1469,3.039,147.3466,447.7896,-0.001648945040813387,0
103,2000-12-31,Company_002,447.7896,222.3235,91.0229,229.3771,13.9297,3.958851040128723,113.111,445.6987,-0.004669380441171553,0
104,2001-03-31,Company_002,445.6987,219.7105,95.8376,302.96590000000003,8.95315,7.0152,62.9354,441.5027,-0.00941443176746975,0
105,2001-06-30,Company_002,441.5027,262.22205,95.5656,376.5547,8.95315,3.7499,116.9858,-438.6853,-1.993618612071908,0
106,2001-09-30,Company_002,-438.6853,304.7336,87.4206,267.4284,3.9766,4.8421,89.4355,433.0515,-1.9871575363934009,0
107,2001-12-31,Company_002,433.0515,392.4244,102.5009,200.6535,-3.1501,5.945,72.84297729184188,426.825,-0.01437819751230509,0
108,2002-03-31,Company_002,426.825,291.1198,99.1386,383.6418,-6.8707,3.5011,121.91168489903173,429.249,0.005679142505710853,1
109,2002-06-30,Company_002,429.249,282.64445,91.4371,547.1566,-6.981,5.131,82.6599,424.1273,-0.011931769206218377,0
110,2002-09-30,Company_002,424.1273,274.1691,91.6031,375.0204,-6.8193,2.5456,163.8564,417.1081,-0.016549748153443584,0
111,2002-12-31,Company_002,417.1081,305.1532,91.1117,451.1964,-7.543,3.8922999999999996,121.58885000000001,408.7804,-0.019965327932974675,0
112,2003-03-31,Company_002,408.7804,291.0193,78.6563,384.0846,-0.5638,5.239,79.3213,415.5662,0.0166001109642243,1
113,2003-06-30,Company_002,415.5662,263.8083,82.77000000000001,372.2028,-6.1104,2.048,202.4986,414.7221,-0.0020312046552389703,0
114,2003-09-30,Company_002,414.7221,310.7919,86.8837,446.4801,-6.75265,5.4256,76.5087,415.109,0.0009329138717226998,1
115,2003-12-31,Company_002,415.109,316.1652,84.5099,361.1322,-7.3949,4.601,89.7468,412.9293,-0.005250910001951219,0
116,2004-03-31,Company_002,412.9293,336.1336,89.2231,399.4935,-5.9189,5.572722990945811,74.0983,414.5259,0.003866521460211147,1
117,2004-06-30,Company_002,414.5259,274.91855,101.9067,403.744,-22.6736,5.047794574294754,82.1202,414.3753,-0.0003633066112394839,0
118,2004-09-30,Company_002,414.3753,213.7035,95.6808,323.4646,1.3442,7.0609,59.3107,418.7885,0.010650248699669159,1
119,2004-12-31,Company_002,418.7885,239.0901,88.181,446.4287,-3.3029,4.9967,83.7218,418.3316,-0.001091004170362889,0
120,2005-03-31,Company_002,418.3316,326.1775,95.0599,361.5422,3.5785500000000003,4.0611,102.8603,417.7304,-0.001437137428776611,0
121,2005-06-30,Company_002,417.7304,156.1504,99.8362,321.2401,3.5785500000000003,4.9326,84.3936,416.276,-0.0034816714321006187,0
122,2005-09-30,Company_002,416.276,254.2179,95.83625,416.7408,10.46,5.623,73.991,416.0482,-0.0005472330857411958,0
123,2005-12-31,Company_002,416.0482,192.7526,91.8363,309.0466,-7.3466,4.8399,86.2162,417.2794,0.0029592725073681395,1
124,2006-03-31,Company_002,417.2794,237.6474,88.8307,365.7439,3.531,5.0235,84.4267,424.1201,0.01639357226836496,1
125,2006-06-30,Company_002,424.1201,349.1401,98.0938,353.9251,2.0375,3.9497,108.7455,429.5128,0.012715030483110911,1
126,2006-09-30,Company_002,429.5128,263.1861,96.8019,429.5223,0.544,4.1002,104.75410955563144,432.4859,0.006922028866194413,1
127,2006-12-31,Company_002,432.4859,252.166,97.67735,383.3848,-12.8012,2.8953,149.6119,433.1693,0.001580167122211397,1
128,2007-03-31,Company_002,433.1693,136.5164,98.5528,345.3639,-9.2504,8.135,53.3378,-433.9053,-2.0016991047149464,0
129,2007-06-30,Company_002,-433.9053,311.4128,101.1011,407.2743,11.21,3.1814,136.4095,433.979,-2.000169852730538,0
130,2007-09-30,Company_002,433.979,305.0548,91.6769,447.07,4.3275500000000005,4.1337,105.3227,435.3693,0.0032036112346450515,1
131,2007-12-31,Company_002,435.3693,427.9038,102.5912,389.4334,-2.5549,4.049257661253945,107.5183,433.2103,-0.0049590083637040825,0
132,2008-03-31,Company_002,433.2103,227.3178,96.3419,343.8994,-2.3556,5.779378830626973,83.1235,436.3235,0.007186348062361412,1
133,2008-06-30,Company_002,436.3235,272.1783,107.9751,245.2606,-2.3556,5.779378830626973,83.1235,437.1069,0.0017954568112878903,1
134,2008-09-30,Company_002,437.1069,280.3313,91.822,256.8364,-2.1563,7.5095,58.7287,441.0204,0.008953187423945947,1
135,2008-12-31,Company_002,441.0204,259.94025,106.3387,315.5161,-0.6236,4.2817,102.6198,439.3874,-0.0037027765609028095,0
136,2009-03-31,Company_002,439.3874,239.5492,95.6234,336.43615,14.9853,5.6621,77.60149061302344,432.577,-0.015499761713695057,0
137,2009-06-30,Company_002,432.577,264.6777,89.6379,336.43615,-5.3423,3.6986,115.8446,428.4604,-0.009516456029793553,0
138,2009-09-30,Company_002,428.4604,294.6979,91.0259,357.3562,-3.0301,8.6874,49.5374,430.3508,0.004412076355247765,1
139,2009-12-31,Company_002,430.3508,258.2575,91.8291,393.8979,3.6931,3.1404,136.7107,-429.3267,-1.9976203134744956,0
140,2010-03-31,Company_002,-429.3267,200.0514,95.6262,356.3339,3.6629,5.506,77.2598,425.3959,-1.9908442684789929,0
141,2010-06-30,Company_002,425.3959,243.6022,94.9486,408.541,3.5191,5.8502,71.5758,418.734,-0.015660470634531274,0
142,2010-09-30,Company_002,418.734,310.7456,87.4627,384.3041,-1.3871,5.369,77.2352,414.6765,-0.009689922480620167,0
143,2010-12-31,Company_002,414.6765,147.0696,92.2381,221.7636,-14.8607,4.5896,91.956,422.04,0.017757215564422012,1
144,2011-03-31,Company_002,422.04,155.12085000000002,104.5036,306.6403,-15.331900000000001,4.5338,91.9588,416.9217,-0.012127523457492259,0
145,2011-06-30,Company_002,416.9217,163.1721,101.4868,369.3802,-15.8031,4.7492,87.2623,414.4224,-0.005994650794141934,0
146,2011-09-30,Company_002,414.4224,320.3051,93.5705,291.121,-4.1387,4.4302,93.54485124825064,414.3181,-0.00025167558510342717,0
147,2011-12-31,Company_002,414.3181,97.6999,91.5328,420.8358,-12.4072,6.3291,65.7899,416.3887,0.0049976093248157785,1
148,2012-03-31,Company_002,416.3887,179.19070000000002,92.5926,484.4654,-6.4967,8.4766,49.4643,419.2917,0.00697185106128005,1
149,2012-06-30,Company_002,419.2917,260.6815,95.7541,460.2443,-3.2406,3.9157,107.2712,420.0388,0.0017818144265674446,1
150,2012-09-30,Company_002,420.0388,363.6593,86.3285,349.7421,2.3095999999999997,2.658,159.1638,423.0603,0.007193383087467166,1
151,2012-12-31,Company_002,423.0603,224.7491,90.5389,479.2942,2.3095999999999997,4.7091,89.3202,420.6142,-0.005781918085908797,0
152,2013-03-31,Company_002,420.6142,192.2432,82.9908,371.0442,7.8598,9.16566500037045,45.8902,426.2409,0.01337734199178256,1
153,2013-06-30,Company_002,426.2409,399.7669,96.3463,329.0765,-1.0459,3.760926994547091,113.334,429.9338,0.008663879979607795,1
154,2013-09-30,Company_002,429.9338,349.71765000000005,98.9023,299.6412,-6.0187,7.9936,54.4614,435.3405,0.012575656996495741,1
155,2013-12-31,Company_002,435.3405,349.71765000000005,92.7402,315.96,4.1874,8.17,53.7629,439.244,0.008966544578324341,1
156,2014-03-31,Company_002,439.244,299.6684,106.131,302.5605,6.5102,4.5976,96.4537,443.4586,0.00959512252870833,1
157,2014-06-30,Company_002,443.4586,226.9609,89.7397,337.2867,-12.5121,6.5656,68.121,447.2562,0.00856359533900118,1
158,2014-09-30,Company_002,447.2562,199.0584,90.3052,318.8463,3.4606,8.6232,53.0877,457.7857,0.023542434962332645,1
159,2014-12-31,Company_002,457.7857,339.7546,100.2536,310.5714,4.0598,5.2428,86.9411,455.8125,-0.004310313755978004,0
160,2015-03-31,Company_002,455.8125,302.2665,105.4265,341.2644,-3.8999,5.5547,82.1917,456.5518,0.0016219388454682885,1
161,2015-06-30,Company_002,456.5518,230.2675,108.6607,402.5184,9.1719,4.8297,94.53005362651925,453.1184,-0.007520285759469146,0
162,2015-09-30,Company_002,453.1184,293.55815,96.0953,380.0596,-2.7872,4.1936,108.7189,455.9196,0.006182048665426066,1
163,2015-12-31,Company_002,455.9196,356.8488,105.9408,196.9958,-0.2892,4.865,93.71420349434737,458.2222,0.005050451877918791,1
164,2016-03-31,Company_002,458.2222,337.6995,99.015,119.1307,-2.7546,3.8996,117.38,457.7341,-0.0010652037374007074,0
165,2016-06-30,Company_002,457.7341,290.2753,100.1639,358.6559,-5.8361,4.4286,105.8876863805067,-467.9745,-2.02237194039072,0
166,2016-09-30,Company_002,-467.9745,452.3162,106.6973,188.628,-8.9176,4.9576,94.39537276101339,468.3587,-2.000820984904092,0
167,2016-12-31,Company_002,468.3587,216.8815,106.1666,189.63605,-11.1355,6.7519,70.0475,472.9558,0.009815340250965792,1
168,2017-03-31,Company_002,472.9558,234.50155,93.078,190.6441,13.6572,3.8702,122.9315,475.7685,0.005947067358091404,1
169,2017-06-30,Company_002,475.7685,252.1216,111.7209,144.3705,-6.0348,6.9898,68.0464,-475.6285,-1.999705739240828,0
170,2017-09-30,Company_002,-475.6285,315.9761,106.21545,304.9439,-6.3475,8.0262,60.1419,482.7117,-2.014892295142112,0
171,2017-12-31,Company_002,482.7117,343.5713,100.71,316.7478,-15.4103,3.4179,141.9628,485.2196,0.005195440674008951,1
172,2018-03-31,Company_002,485.2196,313.8106,108.3501,206.2374,-11.799199999999999,7.547,65.2538,492.4694,0.014941276073761228,1
173,2018-06-30,Company_002,492.4694,358.9663,108.4064,62.7194,-8.1881,8.8785,55.1487,-489.6384,-1.994251419479058,0
174,2018-09-30,Company_002,-489.6384,229.1255,107.4119,209.4429,15.9773,9.3157,52.921549999999996,491.8883,-2.004595023592921,0
175,2018-12-31,Company_002,491.8883,456.4621,102.9389,274.2326,11.1866,9.7529,50.6944,494.4179,0.0051426309591018115,1
176,2019-03-31,Company_002,494.4179,335.4337,102.9451,129.9918,-2.0294,7.7898,63.9691,498.3081,0.007868242634419284,1
177,2019-06-30,Company_002,498.3081,438.565,107.3743,248.1598,21.967,6.0007,83.4562,500.7954,0.004991490204554066,1
178,2019-09-30,Company_002,500.7954,383.3399,115.9099,222.969,12.4818,7.166813114472573,69.877,507.0762,0.012541648745176173,1
179,2019-12-31,Company_002,507.0762,396.9978,112.6218,261.8414,2.3018,8.3572,61.0231,509.9848,0.005736021528914265,1
180,2020-03-31,Company_002,509.9848,396.12325,106.8407,229.6698,-15.3415,7.544834667033563,67.5939,508.9947,-0.0019414304112592845,0
181,2020-06-30,Company_002,508.9947,395.2487,113.8836,148.7436,23.2985,8.3049,61.3245,509.2925,0.0005850748544139952,1
182,2020-09-30,Company_002,509.2925,415.0137,92.222,304.2645,7.5440000000000005,5.9604,85.8632,511.7751,0.004874605457571024,1
183,2020-12-31,Company_002,511.7751,470.9568,116.5302,205.7172,-8.2105,7.7444,65.9912,511.0643,-0.0013888913313680289,0
184,2021-03-31,Company_002,511.0643,384.6605,99.8932,206.3893,13.9318,5.2777,97.8473,516.4057,0.010451522440522693,1
185,2021-06-30,Company_002,516.4057,429.3857,108.6082,137.1464,15.627400000000002,7.4778,69.2615,517.9265,0.002944971366505072,1
186,2021-09-30,Company_002,517.9265,366.6189,104.4471,169.1029,17.323,6.236,83.4462,520.3689,0.0047157270384890915,1
187,2021-12-31,Company_002,520.3689,496.8136,103.8074,240.0861,10.981,6.5793,79.432,522.608,0.004302908955550367,1
188,2022-03-31,Company_002,522.608,327.3949,107.07235,240.0861,11.7491,9.9681,52.8618,526.9311,0.00827216575329897,1
189,2022-06-30,Company_002,526.9311,537.8041,110.3373,311.0693,10.592600000000001,9.8246,53.9734,530.2668,0.006330429158574953,1
190,2022-09-30,Company_002,530.2668,382.359,114.9633,189.99885,10.592600000000001,8.9734,59.09318652907482,528.4301,-0.0034637280704731105,0
191,2022-12-31,Company_002,528.4301,394.33425,112.6113,68.9284,9.4361,6.1647,85.7646,528.7108,0.0005311960844015332,1
192,2023-03-31,Company_002,528.7108,406.3095,117.0931,284.8041,8.8082,7.546004424462998,70.065,535.3546,0.012566037992793141,1
193,2023-06-30,Company_002,535.3546,341.6344,114.976,203.89245,5.5035,10.2225,52.5382,537.0731,0.0032100219181827316,1
194,2023-09-30,Company_002,537.0731,469.1208,106.82,122.9808,2.1988,8.4728,63.38791190633557,537.9038,0.001546716824953796,1
195,2023-12-31,Company_002,537.9038,346.7583,120.9674,246.9437,6.1435,12.1092,44.42108479503188,538.9902,0.002019691996970299,1
196,2024-03-31,Company_002,538.9902,356.5262,110.8734,134.4164,-5.8515,8.7734,61.4345863633255,533.8832,-0.00947512589282694,0
197,2024-06-30,Company_002,533.8832,242.9754,105.2053,306.1225,7.5188,8.5649,62.8389,538.2074,0.008099524390353581,1
198,2024-09-30,Company_002,538.2074,368.3294,112.9163,214.5293,0.8508,8.574950000000001,63.00155,-542.42,-2.0078270941648144,0
200,2000-03-31,Company_003,115.7239,312.6263,114.7896,213.729,7.6247,8.4387,13.713474824321281,119.4093,0.03184648979165065,1
201,2000-06-30,Company_003,119.4093,219.5555,114.7896,209.7743,4.1193,6.1926,20.1938,125.0516,0.047251763472359286,1
202,2000-09-30,Company_003,125.0516,178.4926,107.2407,203.5197,-0.2570999999999999,5.0655,25.6462,129.9095,0.03884716389074602,1
203,2000-12-31,Company_003,129.9095,249.1962,101.351,320.1252,-4.6335,5.5188,23.74,131.0157,0.008515158629661427,1
204,2001-03-31,Company_003,131.0157,375.861,111.4907,277.8449,14.4015,6.5437,20.5104,134.2137,0.02440928835246447,1
205,2001-06-30,Company_003,134.2137,369.9836,110.6247,285.1795,19.2219,7.4431,18.3761,136.7756,0.019088215286517014,1
206,2001-09-30,Company_003,136.7756,428.2087,111.1342,273.16305,-2.0564,7.1693,19.172,137.4492,0.004924855018000238,1
207,2001-12-31,Company_003,137.4492,389.2111,122.6119,273.16305,13.2444,5.5966,25.4108,142.2144,0.03466880854890404,1
208,2002-03-31,Company_003,142.2144,371.2922,113.6824,261.1466,-0.2646,9.5894,14.8565,142.4651,0.0017628313307231532,1
